Biscuit,Bournvita,Butter,Cornflakes,Tea
Bournvita,Bread,Butter,Cornflakes,
Butter,Coffee,Chocolate,Eggs,Jam
Bournvita,Butter,Cornflakes,Bread,Eggs
Bournvita,Bread,Coffee,Chocolate,Eggs
Jam,Sugar,,,
Biscuit,Bournvita,Butter,Cornflakes,Jam
Curd,Jam,Sugar,,
Bournvita,Bread,Butter,Coffee,Cornflakes
Bournvita,Bread,Coffee,Chocolate,Eggs
Bournvita,Butter,Eggs,,
Bournvita,Butter,Cornflakes,Chocolate,Eggs
Biscuit,Bournvita,Bread,,
Bread,Butter,Coffee,Chocolate,Eggs
Coffee,Cornflakes,,,
Chocolate,,,,
Chocolate,Curd,Eggs,,
Biscuit,Bournvita,Butter,Cornflakes,
Bournvita,Bread,Coffee,Chocolate,Eggs
Butter,Coffee,Chocolate,Eggs,
Jam,Sugar,Tea,,
Bournvita,Bread,Butter,Cornflakes,
Coffee,Chocolate,Eggs,Jam,Juice
Juice,Milk,Rice,,
Rice,Soap,Sugar,,
